theta,q,u
-0.011639224655573543,0.07700559749441208,-0.022924909185500157
-0.010869168680629423,0.06934059030001002,-0.019866016818747168
-0.010175762777629323,0.06366808636380687,-0.017849326263025475
-0.009539081913991256,0.06123086655870251,-0.01766035610723899
-0.00892677324840423,0.057659651373903574,-0.016742244327533684
-0.008350176734665194,0.05682627672705635,-0.01739541256690342
-0.00778191396739463,0.0550856410326268,-0.01748755668478682
-0.007231057557068362,0.05212355542032896,-0.01681201813806065
-0.006709822002865073,0.05028031024744529,-0.01674854214273703
-0.00620701890039062,0.04704752730533916,-0.015814478582422256
-0.005736543627337228,0.04375819982692738,-0.014781832641481968
-0.0052989616290679544,0.037955367257804885,-0.01217529709654702
-0.004919407956489905,0.03547114528889129,-0.011443871260354961
-0.0045646965036009925,0.03245647156541228,-0.010344489932045384
-0.0042401317879468695,0.028573105456148735,-0.008663599697795501
-0.003954400733385382,0.02093069844871388,-0.004649617602457563
-0.0037450937488982435,0.020824500143126454,-0.005004512588079385
-0.003536848747466979,0.01684440423570716,-0.003032945046490337
-0.0033684047051099073,0.017131061760016164,-0.0035418276457898842
-0.0031970940875097457,0.014452181755840999,-0.0022771208784851072
-0.0030525722699513355,0.016332241454462132,-0.003694200332774608
-0.002889249855406714,0.016712606609192947,-0.004249064254702339
-0.002722123789314785,0.015229952231496665,-0.0036937237602684284
-0.002569824266999818,0.013797651302128736,-0.003138942247277605
-0.0024318477539785307,0.013409480286652942,-0.0031819926640347038
-0.0022977529511120014,0.01682002835693845,-0.005496511111939066
-0.002129552667542617,0.01429043152713276,-0.004315153581194422
-0.001986648352271289,0.012087055527294398,-0.0032789366118340605
-0.001865777796998345,0.013248793014557182,-0.0042177202147376195
-0.0017332898668527732,0.013122890025291397,-0.0044071542814692905
-0.0016020609665998592,0.01453934547095313,-0.005519485349372159
-0.001456667511890328,0.01321981581709964,-0.005018554466479128
-0.0013244693537193316,0.01223839138342568,-0.004694096122616744
-0.0012020854398850749,0.011349979746362716,-0.00440581696804748
-0.0010885856424214476,0.011516465185984964,-0.004732707826748082
-0.000973420990561598,0.011776118441681947,-0.005118829083885971
-0.0008556598061447786,0.010982267541517566,-0.004878040912620982
-0.0007458371307296029,0.010302097201500285,-0.004689584059440964
-0.0006428161587146,0.009321753811502024,-0.004307419969472014
-0.0005495986205995797,0.0075271935716824355,-0.003417118901810302
-0.0004743266848827554,0.007352757411302822,-0.0034630010770161828
-0.0004007991107697272,0.007094840019915754,-0.003455305790409998
-0.00032985071057056964,0.006431087252582553,-0.0031989509304083926
-0.00026553983804474413,0.0070879059089041345,-0.0037216638692529917
-0.0001946607789557028,0.00499190382134496,-0.00260582073489557
-0.0001447417407422532,0.003723338766019657,-0.0019445197781272879
-0.00010750835308205662,0.0001827527194744787,0.00010536507447942604
-0.00010568082588731183,0.00038000674479721295,-1.6642395103704102e-05
-0.0001018807584393397,-0.0033247680197830147,0.002198622328748488
-0.00013512843863716986,-0.005794893020452146,0.003747192689545627
-0.00019307736884169132,-0.003642322406609176,0.002571548181648888
-0.00022950059290778309,-0.0022913576534685925,0.0018338157778967216
-0.000252414169442469,-0.0010062703603565518,0.0011085905550988692
-0.00026247687304603454,0.0001814525262221877,0.00041608223035875645
-0.00026066234778381265,-0.0016179523233496285,0.0014920960895774024
-0.00027684187101730895,-0.0038789626213279445,0.0028810613148313844
-0.0003156314972305884,-0.0072224098746430905,0.004964708919247031
-0.0003878555959770193,-0.00587710714637657,0.00430197547977998
-0.00044662666744078503,-0.0033851209870683747,0.0029243259271225946
-0.0004804778773114688,-0.00564040287935732,0.004345197482237329
-0.000536881906105042,-0.0060291962930540954,0.004691281588042541
-0.000597173869035583,-0.004536836187377208,0.003916449450497491
-0.0006425422309093551,-0.004111219706342155,0.003751816285624003
-0.0006836544279727766,-0.005868022452898452,0.004888122327684624
-0.0007423346525017612,-0.004392921586863281,0.004120422257121491
-0.000786263868370394,-0.005783839993994411,0.005042831733137434
-0.000844102268310338,-0.0053031798522554085,0.004870112447973921
-0.0008971340668328921,-0.002814739823998605,0.003483112028064947
-0.0009252814650728782,-0.0007046584108514943,0.002273357976656653
-0.0009323280491813932,-0.0006069296848002899,0.00222881390924296
-0.0009383973460293961,-0.006256506412794726,0.005630698539735628
-0.0010009624101573434,-0.0025415932590014704,0.003526880775715569
-0.0010263783427473582,0.00041848908891764687,0.0018016632321441281
-0.0010221934518581817,0.0034513552439091634,-2.6426242629134632e-05
-0.0009876798994190902,0.001891579446593402,0.0008404121308821391
-0.0009687641049531562,-4.415141915696638e-05,0.0019640190614004923
-0.0009692056191447258,0.00042345790913350407,0.0016843364928093491
-0.0009649710400533907,0.002993525322595728,0.00013382688654934487
-0.0009350357868274335,0.0024304502835500756,0.0004118014035248217
-0.0009107312839919327,-0.0008995403994963959,0.002361186807681703
-0.0009197266879868967,-0.00016621535071902928,0.0019391825864052109
-0.000921388841494087,0.0002556298059118167,0.001689399799441084
-0.0009188325434349688,0.0027699569711132745,0.0001756909042019729
-0.000891132973723836,0.0027026044109110677,0.0001607033009010314
-0.0008641069296147254,-0.0016232947724394739,0.002702190722693135
-0.0008803398773391201,-0.004208802066906154,0.004285960994821933
-0.0009224278980081817,-0.0035098813780500807,0.003950784622846412
-0.0009575267117886825,-0.0032426388220978294,0.0038606367168360625
-0.0009899531000096607,-0.0014470733397126709,0.002848150203846924
-0.0010044238334067875,-0.0025816166441296733,0.003557817653291379
